fiscalDateEnding,reportedCurrency,grossProfit,totalRevenue,costOfRevenue,costofGoodsAndServicesSold,operatingIncome,sellingGeneralAndAdministrative,researchAndDevelopment,operatingExpenses,investmentIncomeNet,netInterestIncome,interestIncome,interestExpense,nonInterestIncome,otherNonOperatingIncome,depreciation,depreciationAndAmortization,incomeBeforeTax,incomeTaxExpense,interestAndDebtExpense,netIncomeFromContinuingOperations,comprehensiveIncomeNetOfTax,ebit,ebitda,netIncome,ticker
2019-12-31,EUR,2712000000,6903000000,4191000000,4191000000,803000000,1000000,1069000000,1843000000,None,85000000,5000000,85000000,None,0,None,46467,809000000,246000000,None,563000000,None,1293953533,1294000000,563000000,NOK
2019-09-30,EUR,1969000000,5686000000,3717000000,3717000000,264000000,739000000,1060000000,1799000000,None,-98000000,95000000,98000000,None,0,None,44646,168000000,80000000,None,87000000,None,583955354,584000000,82000000,NOK
2019-06-30,EUR,2065000000,5694000000,3629000000,3629000000,-57000000,763000000,1126000000,1889000000,None,-173000000,179000000,173000000,None,0,None,40963,-237000000,-46000000,None,-191000000,None,588959037,589000000,-193000000,NOK
2019-03-31,EUR,1580000000,5032000000,3452000000,3452000000,-524000000,824000000,1156000000,1980000000,None,-55000000,60000000,55000000,None,0,None,40374,-583000000,-142000000,None,-442000000,None,7959626,8000000,-446000000,NOK
2018-12-31,EUR,2761000000,6869000000,4108000000,4108000000,552000000,1440309640.43,1165000000,2098000000,None,None,None,10000000,None,0,None,367000000,481000000,278000000,None,349690561.75,None,663000000,1030000000,193000000,NOK
2018-09-30,EUR,2019000000,5458000000,3439000000,3439000000,-54000000,924982634.87,1123000000,1993000000,None,None,None,60000000,None,0,None,356000000,-112000000,15000000,None,-147024774.25,None,26000000,382000000,-79000000,NOK
2018-06-30,EUR,1860000000,5313000000,3453000000,3453000000,-221000000,813000000,1165000000,1978000000,None,None,None,56000000,None,None,None,360000000,-281000000,-10000000,None,-315409683.43,None,-118000000,242000000,-266000000,NOK
2018-03-31,EUR,1805000000,4924000000,3119000000,3119000000,-336000000,2444288000,1167000000,2014000000,None,None,None,108000000,None,None,None,372000000,-448000000,-94000000,None,-354000000,None,-209000000,163000000,-188000000,NOK
2017-12-31,EUR,2593000000,6651000000,4058000000,4058000000,419000000,2634777000,1226000000,2156000000,None,None,None,86000000,None,None,None,380000000,394000000,772000000,None,-1675000000,None,437000000,817000000,-386000000,NOK
2017-09-30,EUR,2185000000,5500000000,3315000000,3315000000,-230000000,2545912000,1212000000,2072000000,None,None,None,63000000,None,None,None,400000000,-292000000,-102000000,None,-202000000,None,113000000,513000000,-183000000,NOK
