fiscalDateEnding,reportedCurrency,grossProfit,totalRevenue,costOfRevenue,costofGoodsAndServicesSold,operatingIncome,sellingGeneralAndAdministrative,researchAndDevelopment,operatingExpenses,investmentIncomeNet,netInterestIncome,interestIncome,interestExpense,nonInterestIncome,otherNonOperatingIncome,depreciation,depreciationAndAmortization,incomeBeforeTax,incomeTaxExpense,interestAndDebtExpense,netIncomeFromContinuingOperations,comprehensiveIncomeNetOfTax,ebit,ebitda,netIncome,ticker
2014-06-30,USD,24481000,53678000,29197000,29197000,-296000,13057000,8073000,24777000,3000,-9000,3000,12000,None,323000,1786000,1392000,-6817000,729000,12000,-711000,-7505000,-6805000,-5413000,-7546000,MRCY
2014-03-31,USD,24376000,53393000,29017000,30373000,-1407000,12363000,8166000,25783000,2000,-9000,2000,11000,None,337000,1923000,1901000,-1387000,-809000,11000,-270000,-555000,-1376000,525000,-578000,MRCY
2013-12-31,USD,24325000,50932000,26607000,28152000,-1661000,13944000,10142000,25986000,3000,-8000,3000,11000,None,440000,1942000,1927000,-1487000,-442000,11000,-787000,-1119000,-1476000,451000,-1045000,MRCY
2013-09-30,USD,21562000,50726000,29164000,31355000,-4041000,14321000,9312000,25603000,1000,-14000,1000,15000,None,432000,1974000,2108000,-3575000,-1319000,15000,-2304000,-2197000,-3560000,-1452000,-2256000,MRCY
2013-06-30,USD,21045000,51816000,23254000,33304000,-4074000,11739000,7474000,22706000,1000,-7000,1000,8000,-1109000,79000,1975000,2343000,-4056000,-2044000,8000,-1958000,-2083000,-4048000,-1705000,-2012000,MRCY
2013-03-31,USD,21350000,50364000,31549000,31549000,-1850000,13918000,7503000,24037000,2000,-5000,2000,7000,None,24000,2068000,2356000,-1553000,-2341000,7000,510000,615000,-1546000,810000,788000,MRCY
2012-12-31,USD,16524000,46371000,32232000,32232000,-7362000,14574000,7588000,24651000,2000,-13000,2000,15000,None,116000,2191000,2230000,-7083000,-2299000,15000,-4960000,-4916000,-7068000,-4838000,-4784000,MRCY
2012-09-30,USD,19239000,45680000,29038000,29038000,-11524000,14533000,10039000,31574000,2000,-6000,2000,8000,None,339000,2211000,1788000,-11017000,-3817000,8000,-7374000,-7167000,-11009000,-9221000,-7200000,MRCY
2012-06-30,USD,30264000,60859000,25084000,30595000,5956000,12344000,10943000,22417000,1000,-13000,1000,14000,None,363000,2107000,1148000,6306000,630000,14000,5380000,5701000,6320000,7468000,5676000,MRCY
2012-03-31,USD,35063000,66989000,31926000,31926000,7106000,15217000,11452000,27957000,3000,-5000,3000,8000,None,524000,1970000,1143000,7625000,2380000,8000,5245000,5233000,7633000,8776000,5245000,MRCY
2011-12-31,USD,40913000,67959000,27046000,27046000,13485000,14419000,11724000,27428000,3000,-6000,3000,9000,None,394000,1905000,692000,13873000,4828000,9000,9045000,9025000,13882000,14574000,9045000,MRCY
2011-09-30,USD,29916000,49122000,19206000,19206000,3565000,13645000,11865000,26351000,6000,-3000,6000,9000,None,405000,1855000,816000,3967000,1314000,9000,2653000,2711000,3976000,4792000,2653000,MRCY
2011-06-30,USD,34717000,61234000,26517000,26517000,6223000,15215000,12439000,28494000,None,None,None,11000,None,252000,None,2409000,6531000,2280000,None,4264000,4263000,6542000,9209000,4251000,MRCY
2011-03-31,USD,32882000,59855000,26973000,26973000,6999000,14437000,10683000,25883000,None,None,None,10000,None,390000,None,2323000,7385000,2007000,None,5378000,5440000,7395000,9328000,5378000,MRCY
2010-12-31,USD,31640000,55513000,23873000,23873000,6518000,14019000,10479000,25122000,None,None,None,49000,None,404000,None,1869000,6879000,1696000,None,5183000,5256000,6928000,8393000,5183000,MRCY
2010-09-30,USD,30660000,52108000,21448000,21448000,5245000,14197000,10899000,25415000,None,None,None,9000,None,516000,None,1748000,5707000,2077000,None,3682000,3796000,5716000,6999000,3630000,MRCY
